a-vorto; adjective
dedekinda; Dedekind['s], Dedekind[s], Dedekind['s]
dedekindatranĉo; Dedekind['s] cut, Dedekind[s] cut
dedekindo; Dedekind
dediĉi; devote, dedicate
dediĉo; dedication, commitment
dedukti; gather, abstract, deduce
dedukto; deduction
deekstera; outside
defalaĵo; deposit, clippings, refuse, rubbish, waste, cuttings
defali; fall <f>{past fell} {perf fallen}</f>, fall off, tumble down
defalo; fall, downfall
defenda; defensive
defendanto; back, defender
defendi; defend
defendo; defense, defence
defensiva; defensive
defensivo; defensive
defetismo; defeatism
defia; challenging
deficita; negative
deficito; deficit
defii; challenge, defy, face
defilado; procession
defili; parade
definitiva; ultimate, definite, definitive
definitive; positively, definitely, definitively
definitivigi; crystallise, confirm, ratify
definitiviĝo; crystallisation
defio; challenge
deflacio; deflation
deflankigi; deflect
deflankiĝi; stray, get off the subject, go astray
deflankiĝo; digression
defluilo; gutter, scupper
deforastirado; remote control
deformaĵo; deformity
deformi; deform
deformiĝo; warp
defraŭdi; embezzle
defraŭdo; embezzlement
defroti; erode, rub off
defrotiĝi; erode
degelado; thaw
degeli; melt, thaw
degeligi; thaw, melt
degelo; thaw, melting
degenera; degenerative
degenerado; degeneration, deterioration
degenereco; degeneration
degeneri; degrade, degenerate
degenerigi; degrade
degenero; deterioration, degradation
deglitejo; chute, slide
degradi; downgrade, demote, degrade
degrado; demotion
deguti; drip down, trickle down, drain
dehaki; cut off, cut, lop
dehidratigi; dehydrate
dehiskado; dehiscence
dehiski; dehisce
dehisko; dehiscence
deigi; detach
deiri; leave
deiro; departure
deismo; deism
deiĝi; become detached, separate
dejmo; Deimos
dek; ten
deka; tenth
dekadenca; decadent
dekadenci; be decadent
dekadencigi; make decadent
dekadenco; decay, decline, decadence
dekado; ten-day period
dekagramo; decagram
dekalitro; decalitre, decaliter
dekalkuli; deduct, subtract, count down
dekalkulo; subtraction, deduction
dekalogo; Ten Commandments, decalogue
dekametro; decameter, decametre
dekano; dean <g>pers</g>
dekdua; twelfth
dekduo; dozen
dekiam; since
deklami; declaim, recite
deklamo; reading
deklaracio; announcement, declaration, manifesto, proclamation
deklaraĵo; declaration
deklari; state, declare
deklaro; proclamation, statement, declaration, dictum, pronouncement
deklinacii; decline
deklinacio; declination, declension
deklini; divert
dekliniĝi; diverge, deviate
dekliniĝo; deviation, deflection
dekliva; sloping, slanted, inclined
dekliveco; slope
deklivi; slope down, slope
deklivo; gradient, downgrade, slope, hillside, acclivity
deko; ten
dekoble; tenfold
dekokti; boil, decoct, reduce
dekokto; decoction
dekoltaĵo; cleavage, décolletage
dekolti; cut low, expose neck and shoulders
dekoltita; décolleté, bare-necked, low-cut, sexy
dekolto; dcollet
dekomenca; initial
dekomence; from the outset, originally
dekonduki; lead away
dekono; tenth
dekonsili; advise against, dissuade from
dekope; by tens
dekoraciado; decoration
dekoracii; decorate
dekoraciisto; decorator
dekoracio; decor, dcor, decoration
dekori; adorn, ornament, decorate
dekoro; decor, decoration, dcor
dekreti; decree
dekreto; decree, order, edict
dekroĉi; detach, unhook
deksesuma; hexadecimal
dekstra; right-hand, right
dekstraklaso; right coset
dekstrakorna; acute
dekstre; to the right, on the right
dekstren; right, to the right
dekstro; right
dekstrulo; right-hander <g>pers</g>
dekuma; decimal
dekumalogaritmo; common logarithm
dekutimigi; break of a habit, teach <f>{past taught} {perf taught}</f>
dekutimiĝi; unlearn, get out of a habit, break a habit
delasi; abandon, shed, drip
delaso; release
delegacio; delegation
delegato; delegate <g>pers</g>, deputy <g>pers</g>, representative <g>pers</g>
delegi; delegate
delegitaro; delegation, deputation
delegito; delegate <g>pers</g>
delfeno; dolphin
delfinio; larkspur
delico; bliss, delight
deligi; detach
delikata; tricky, tender, fragile, sensitive, refined, delicate, dainty, fine
delikataĵo; delicacy
delikate; lightly, tenderly, gingerly
delikateco; fragility, delicacy, tenderness
delikto; tort, offence, misdemeanour
deliktulo; offender, delinquent
delira; delirious
deliraĵo; crazy talk, madness
deliri; be delirious, delirious, rave
deliro; delirium
delkredero; delcredere
deloga; seductive
delogado; seduction
delogi; entice, seduce
delogo; seduction
deloki; shift
delokigo; dislocation
delonga; longtime, longstanding, long
delonge; long, for a long time
deltaplano; hang glider
delto; delta
demagoga; demagogic
demagogia; populist
demagogio; demagoguery, demagogy
demagogo; demagogue <g>pers</g>, populist
demamigi; wean, ablactate
demandaro; application, questionnaire
demandi; inquire, ask
demandilo; application
demando; query, question
demandosigno; question mark
demarkacii; demarcate
demarkacio; demarcation
demarŝo; representation
demenco; dementia
demenculo; maniac
dementi; officially deny
demetebla; removable
demeti; unmount, lay, put off, take off
demeto; removal
demisii; resign
demisiigi; fire, overthrow
demografia; demographic
demografiisto; demographer
demografio; demography
demokrata; democrat, democratic
demokratia; democratic
demokratie; democratically
demokratiigi; democratize, democratise
demokratiigo; democratisation
demokratiiĝo; democratisation, democratization
demokratio; democracy
demokrato; democrat <g>pers</g>
demona; demonic
demono; bogeyman, demon
demonstracii; demonstrate
demonstracio; demonstration
demonstrativo; demonstrative (pronoun)
demonstri; demonstrate, prove <f>{past proved} {perf proved}</f>
demonstro; demonstration
demoralizi; demoralise
demordi; bite off
denaska; inborn, innate, congenital, inbred, native, inherent
denaske; innately
dendrito; dendrite
denominatoro; denominator
denova; renewed
denove; again, anew
densa; thick, dense, concentrated, lush, bushy
densaĵo; thicket
dense; heavily, densely
denseco; density
densejo; thicket
densigi; condense, thicken
densiĝi; thicken
densiĝo; concentration
denta; dental
dentaro; teeth
dentaĵo; gear
dentbroso; brush
dentdoloro; toothache
dentego; tush, tusk, fang
dentingo; tooth socket
dentisto; dentist <g>pers</g>
dentkarno; gengiva, gum
dento; tooth <f>{pl teeth}</f>
dentokarno; gum, gengiva
dentopasto; toothpaste
dentopikilo; toothpick
dentpikilo; toothpick
dentrado; cogwheel, gear
dentskrapi; gnaw off, pick
denuncanto; leak, accuser, denouncer
denunci; accuse, inform against, denounce, charge
denuncinto; accuser
denuncisto; mole
denunco; denunciation, accusation, denouncement
depago; deduction
departementa; departmental
departemento; department
dependa; dependent, linearly dependent, contingent, reliant
dependeco; reliance, addiction, dependency, dependence
dependi; depend <g>{je {on A}}</g>
depetrol; Organisation of Petroleum Exporting Countries, OPEC
depeŝi; dispatch
depeŝo; cable, dispatch, urgent written message
deponanto; depositor
deponaĵo; deposit
deponejo; repository, deposit, depository
deponi; deposit
deponitaĵo; deposit
depono; deposit
deporti; deport
depost; ever since, since
depostuli; demand
depoto; garrison
depozicio; testimony, statement
depreni; subtract, deduct, take away
depreno; deduction, demand, sale
depresio; depression
deprimi; depress
deprimo; depression
deprunti; borrow <g>{de {from A}}</g>
deprunto; loan
deputi; depute
deputitaro; delegation, deputation, assembly
deputito; deputy, rep
depuŝi; shove, brush
derivaĵo; derivative, derivation
derivi; derive
derivo; derivation
dermatologio; dermatology
dermatologo; dermatologist
dermo; dermus
derompaĵo; debris, wreckage
derompiĝi; break, break off
deruli; roll off
deruliĝi; roll off
derviŝo; dervish <g>pers</g>
des; the, the (more, less)
desalti; jump down, dismount, jump off, leap down
descendi; sink, descend, go down
descendo; descent
desegna; drawing
desegnado; design
desegnaĵo; draft, picture, drawing, design
desegni; draw <f>{past drew} {perf drawn}</f>, design
desegnilo; designer
desegno; design, drawing
deserto; dessert
desinfektaĵo; disinfectant
desinfekti; disinfect
desinfektilo; disinfectant, disinfector
deskrapi; erase
desorĉi; exorcise
desovetaj; Soviet Union, Union of Soviet Socialist Republics, USSR
despotismo; despotism
despoto; despot <g>pers</g>
destari; detach
destini; consign, destine, ordain, earmark
destino; fate, destiny, goal
destrojero; destroyer
desupre; down
detala; descriptive, detailed
detalado; breakdown
detale; meticulously, in detail
detalega; exhaustive
detali; detail
detalisto; retailer <g>pers</g>
detalo; detail
detavoliĝi; peel
detekti; detect, rectify, demodulate
detektilo; demodulator, detector
detektivo; detective <g>pers</g>
deteni; restrain, abstract, withhold, detain
deteriĝi; take
determinanto; determinant
determini; fix, determine
determinismo; determinism
determino; determination
detiri; strip
detonacii; detonate
detonacio; detonation
detondi; cut off
detranĉenda; truncated
detranĉi; truncate, retrench, cut off
detranĉo; cutback, slash
detronigi; dethrone, depose
detronigo; overthrow
detrua; destructive
detruado; ravages, destruction
detruanto; destroyer
detrui; quash, destroy
detruiĝo; devastation
detruo; destruction
deturni; turn away, divert, deter
deturniĝi; turn, divert, diverge
deturno; diversion
deva; obligatory
devaluti; devalue
devena; natural, coming
deveni; be <g> descended</g>, originate, result, derive, come <f>{past came} {perf come}</f>, stem
devenigi; deduce
deveno; descent, origin, lineage, provenance, derivation
devi; oblige, need, have to <f>{past had} {perf had}</f> <g>aux</g>, ought to, should <f>aux</f> <g>auxp</g>, must <f>aux</f> <g>auxp</g>
devia; deviant
deviga; obligatory, mandatory, compulsory
devigi; compel, force
devigo; compulsion, pressure, force, coercion, obligation
devii; turn
deviigi; deflect
devio; deviation, aberrance, aberration
devizo; motto, slogan, watchword, motif
deviŝi; wipe
devo; obligation, duty
devojigi; sidetrack
devojiĝi; sidetrack, deviate, leave, stray off, go astray
devojiĝo; aberrance, departure
devono; Devon, Devonian period
devontigi; commit, obligate
devontigo; obligation
devota; pious, devout
devoteco; devotion
devotulo; devotee, churchy person, pietist, zealot <g>pers</g>
dezerta; barren, desolate, bleak, dreary, gaunt
dezerteco; bleakness, void, desolation
dezertejo; wasteland
dezertigi; devastate
dezertigo; desolation
dezertiĝo; desertification
dezerto; outback, desert
deziri; wish, desire, want
dezirinda; desirable, good
deziro; want, desire, wish
deŝiri; peel, tear off, pluck, pick
deŝovi; abdicate
deŝovo; indentation
deŝtatigi; denationalise, privatize, privatise
deŝtatigo; privatisation
deŝuto; download
deĉevaliĝi; dismount
deĉifrado; decoding
deĉifri; decode, decipher
deĉifrigi; decrypt
deĵeti; shed, cast off, fling off, throw off
deĵorado; service
deĵoranto; attendant
deĵorejo; quarter
deĵori; be on duty, serve
deĵoro; service, duty, stint
dia; divine
diabeto; diabetes
diabetulo; diabetic
diabla; damned, damn, diabolical, devilish, terrible, diabolic
diablaĵo; diablerie, devilry, deviltry
diable; darn, damn, diabolically
diableca; awful
diableto; little devil
diablino; she-devil <g>pers</g>
diablo; devil
diabolo; yo-yo, diabolo
diademo; diadem
diafana; semi-transparent, translucent, clear, diaphanous
diafragmo; diaphragm
diagnoza; diagnostic
diagnozi; diagnose
diagnozo; diagnosis <f>{pl diagnoses}</f>
diagonala; diagonal
diagonale; diagonally
diagonaligebla; diagonalizable
diagonalo; diagonal
diagramelemento; diagram items
diagramo; graph
diagramobjekto; chart object
diakono; deacon <g>pers</g>
diakrita; diacritical
diakritilo; diacritical mark
diakrona; diachronous, historical
dialektika; dialectic
dialektikisto; dialectician <g>pers</g>
dialektiko; dialectic, dialectics
dialekto; dialect
dializi; dialyse
dializo; dialysis
dialogo; dialogue, dialog
dialogujo; dialog box, message box
diamanta; diamond
diamanto; diamond
diametro; diameter
diano; Diana <g>pers</g>
dianto; pink, carnation
diapazono; tuning fork, diapason
diapozitivo; slide, transparency, diapositive
diareo; diarrhoea, diarrhea
diasporo; diaspora
diastola; diastolic
diastolo; diastole
diaĵo; divinity
diboĉaĵo; vice
diboĉi; debauch
diboĉo; dissipation, debauchery
diboĉulo; debauchee <g>pers</g>, swinger <g>pers</g>, dissolute person
didaktika; educational, didactical, pedagogical
didaktiko; pedagogy, didactics, education
didelfo; opossum
dieco; divinity
dielektrika; dielectric
dielektriko; dielectric
dieso; hash, grid, pound sign, number sign, sharp
dieta; dietary
dieti; be on a diet, diet
dietisto; nutritionist
dieto; diet
difavoro; divine favour
difekta; out of order, broken, imperfect
difekti; mar, impair, spoil, injure, damage, defect
difektita; defective, impaired
difektiĝema; perishable
difektiĝi; deteriorate, break down, damage
difektiĝo; deterioration
difekto; imperfection, defect, flaw, damage
diferenca; different, unlike
diferenci; be different, differ
diferenciala; differential
diferencialaekvacio; differential equation
diferencialaformo; differential form
diferencialakalkulo; differential calculus
diferencialebla; differentiable
diferenciali; differentiate
diferencialo; differential
diferencigi; differentiate
diferencigo; differentiation
diferenciĝi; differ
diferenco; difference
difina; determining, defining
difini; determine, define
difinita; particular
difinitaintegralo; definite integral
difino; definition
difrakto; diffraction
difterio; diphtheria
diftongo; diphthong
difuzi; diffuse, spread
difuzilo; diffusor
difuzo; diffusion
digestado; digestion
digesti; digest
digestiga; digestive
digesto; digestion
digi; dam up, form an embankment
digitalo; foxglove
digna; dignified, worthy
digneco; dignity
digno; dignity
dignoplena; dignified
digo; dyke, seawall, embankment, dam, dike <g>pers</g>, bank
digramo; digraph
diigi; deify
diino; goddess
diismo; deism
dika; corpulent, bold, fat <f>{komp fatter} {sup fattest}</f>, thick, plump, bulky
dikafingro; thumb
dikaintesto; large intestine
dikeco; corpulence, thickness
dikega; bulky
diketa; plump
dikfingro; thumb
dikigi; make fat, thicken
dikiĝi; become fat, gain weight, fatten, thicken
dikiĝo; swelling
dikkarna; fleshy
diko; thickness
diktatora; dictatorial
diktatoreca; dictatorial
diktatoreco; dictatorship
diktatorema; dictatorial
diktatoro; dictator <g>pers</g>
diktatura; dictatorial
diktaturo; dictatorship
diktaĵo; dictation
dikti; dictate
dikulo; fat person <g>pers</g>
dikventra; fat <f>{komp fatter} {sup fattest}</f>
dilati; expand
dilatiĝi; expand
dilatiĝo; expansion
dilato; expansion
dilemo; dilemma, quandary, predicament
diletanta; dilettantish, amateurish
diletanteco; amateurism, dilettantism
diletantismo; dilettantism, amateurism
diletanto; amateur, dilettante <g>pers</g>, dabbler <g>pers</g>
diligenta; diligent, hardworking, industrious, painstaking, assiduous, dedicated
diligente; painstakingly, earnestly
diligenteco; diligence, industry
diligento; application, diligence
diligentulo; hard worker <g>pers</g>
dilui; dilute
diluo; dilution
diluvio; Diluvium
diluvo; great flood, deluge, flood
dimanĉe; sunday
dimanĉo; Sunday
dimensia; n-dimensional, dimensional
dimensiado; dimensioning
dimensio; dimension, measurement
diminutivo; diminutive
dinamika; dynamic
dinamiko; dynamics
dinamismo; dynamism  (philosophy)
dinamito; dynamite
dinamo; dynamo, powerhouse
dinastia; dynastic
dinastio; dynasty
dinosaŭro; dinosaur
dio; goddess, god
diocezo; diocese
diodo; diode
dioksido; dioxide
dipatrino; Mother of God
diplomado; certification
diplomata; diplomatic
diplomateco; diplomacy
diplomatia; diplomatic
diplomatiisto; diplomat
diplomatio; diplomacy
diplomato; diplomat <g>pers</g>
diplomi; graduate
diplomita; qualified, graduate, certificated
diplomiĝi; graduate
diplomiĝo; certification, graduation
diplomo; degree, diploma
dirado; saying
diraka; Dirac[s], Dirac['s], Dirac['s]
dirakadistribucio; Dirac['s] distribution, Dirac[s] distribution
dirakakombilo; Dirac[s] comb, Dirac['s] comb
dirakamezuro; Dirac['s] measure, Dirac[s] measure
diraĵo; saying
direkcio; directorate
direkta; directional
direktado; steering, direction
direktanto; director, marshal, manager <g>pers</g>
direktebla; docile
direkterono; rudder
direkti; manage, direct, steer, guide
direktilisto; driver, helmsman
direktilo; helm, rudder, handlebars
direktisto; director
direktivo; policy, norm
direktiĝi; turn
direkto; direction
direktorio; directorate
direktoro; manager <g>pers</g>, director <g>pers</g>
direktrico; guideline
diri; tell <f>{past told} {perf told}</f>, say <f>{past said} {perf said}</f>
